Names	total	elements
		ONECUT3
		EBLN3
		C7orf13
		BAG6
		C1orf95
		DSG4
		KRT18P50 /// KRT18P50
		ACRV1
		DENND5A
		CTAGE5 /// MIA2
		NPHP4
		YPEL4
		SGK223
		LINC00327
		ATP5O
		GPR137C
		PXDC1
		NUP188
		PCDHGB8P
		ANKRD19P
		FAM47C
		P2RY6
		CDH9
		PPM1B
		KIR2DL3
		KRTAP9-8
		SLC7A5
		LINC00551
		GLTSCR1
		RP11-10N23.4
		SLC15A1
		LOC101928834
		KCNAB2
		NELL1
		FADD
		LOC100996724 /// LOC100996761 /// LOC101929792 /// LOC101930416 /// LOC653513 /// PDE4DIP
		DDIT3
		LIMCH1
		RAB40A
		CAD
		SPDEF
		KRT19P2
		SRSF1
		RASSF2
		NCR1
		DLX3
		PRTN3
		TBX5-AS1
		PNMAL1
		APLP2
		TGOLN2
		PCDH8
		CIRBP-AS1
		TMEM138
		GPR146
		TMCO1
		TRRAP
		POLN
		SEMA3D
		NIPAL3
		LOC100505715
		ADCY6
		TGFA
		ERP44
		CFDP1 /// LOC101928178
		PET100
		OLFML2B
		ARHGEF1
		CTD-2130O13.1
		LOC100129973
		PABPC1 /// RLIM
		APCDD1
		XKR8
		LOC654780
		TMEM191A
		POU2F3
		NUP54
		LOC389247
		OR10H3
		FAM196A
		LOC57399
		LOC283357
		RPS7
		CLRN1-AS1
		CXCL5
		C22orf29 /// GNB1L
		PRH1 /// PRH1-PRR4 /// PRH2
		KRT10
		RPUSD4
		SNRPB
		CGN
		RP11-141M1.1
		RUSC1-AS1
		ADH6
		ANAPC15
		TMEM254
		GIPC1
		KDM5D
		ADAM20
		DCC
		DGKI /// LOC100128727
		PEX5L
		LOC101928273
		KBTBD12
		LARP4B
		SLC4A11
		UNC45A
		SMG9
		ABHD6
		LRRD1
		GCNT1
		RP11-53B2.2
		LINC00410
		AC005224.2
		UBXN2A
		CXorf40A /// CXorf40B
		ATP5G1
		ANKRD23
		LOC100507165
		RFPL1
		MMP9
		ADIPOQ
EC_GSE131617	1282	DPY30
		ZHX3
		FAM187A
		GFOD2
		KCNG1
		NCF4
		SLC25A3
		ACOT12
		TMSB10
		UQCR11
		SCAF8
		RPL19
		DDX5
		COPRS
		ZEB1
		CYTH1
		HEPH
		SLC12A8
		C4orf3
		MED13L
		DMC1
		RPS6KA5
		C9orf43
		DIP2A
		TAOK3
		BMP3
		NUDT9P1
		TIGAR
		CNBD2
		BAZ1B
		CRHR1-IT1
		GRK5
		SLC8A1
		ZNF83
		LGI2
		NEIL1
		CIDECP
		HIST3H3
		SMUG1
		BUD31
		LOC401191
		C7orf33
		ING5
		OR5R1
		N4BP2L2
		LOC100506023
		ADP-ribose
		LINC01011
		C8orf44-SGK3
		SETDB1
		SRSF11
		DUSP5
		C12orf75
		COX8A
		RSRC1
		CRHBP
		EMC8
		CDC42BPA
		SPX
		LSM4
		LAGE3
		HTR3A
		MYO5C
		METTL21A
		ZNF552
		KDM6A
		PRDX4
		AHCYL2
		ATF7
		HIST1H2BJ
		DNAJA3
		GLG1
		RP9
		MCOLN2
		PLCXD2
		NEU1
		DNHD1
		FKBP4
		ASAH1
		Drosophila
		RPS10P19
		FAM175A
		ARMC6
		RTCB
		OPA3
		JADE1
		SYTL5
		MAGOHB
		CLCA1
		ZCCHC12
		JPX
		PLSCR4
		CCT4
		PDAP1
		BRD4
		ZNF146
		GJB5
		SLC4A5
		SAMD10
		EP400NL
		TRIM45
		PSD2
		LXN
		SCRN1
		GPATCH8
		EIF3D
		TNFAIP8L3
		DCT
		SSMEM1
		DPYSL4
		SDR16C5
		CECR5
		PHGDH
		LOC105376545
		HAUS4
		SECTM1
		XKRX
		RAB11FIP4
		C6orf141
		HCFC1R1
		GRPEL2
		INPP5B
		RBMY2FP
		LOC105378419
		LOC100506472
		KDM6B
		TAC1
		GYPA
		CYP4F12
		CHCHD5
		GCH1
		MEGF11
		MELK
		CLIC5
		CDK16
		HRAS
		NPNT
		PHF12
		UQCRQ
		WSB1
		OSTN
		HN1
		PARVB
		NDC80
		LOC100131492
		NR4A3
		CPO
		IL10RB
		VWA3A
		RUVBL2
		WNT10B
		GPR160
		COCH
		RDH11
		AMOTL2
		HRASLS
		OR13F1
		ADCYAP1R1
		CA12
		CRTAP
		PRELID2
		BANF1
		SRL
		KLHDC1
		NDUFB3
		A
		GNLY
		CABP7
		CFAP70
		ABCD3
		DGCR8
		FAM20B
		NEDD8-MDP1
		HNRNPH1
		OGFRL1
		CITED2
		PCDH12
		HEATR5A
		IMPG2
		EMB
		C6orf89
		DUSP3
		TUBB2B
		EXD1
		HAUS1
		IFT172
		TXLNG
		PFKFB2
		PRMT5
		GOLGB1
		ATPIF1
		RFT1
		TACC1
		SLC6A1
		ADHFE1
		SERTAD4
		SCG2
		RPSAP52
		CAPNS1
		TDRD3
		OR2C1
		CXCL2
		ZSCAN5B
		ZMAT1
		CDK13
		SEC22C
		OR51B2
		CCNB2
		MXRA7
		ABCF1
		SMARCA4
		ITPKB
		CLPTM1L
		ENPEP
		PRPF8
		ADGRG2
		G6PD
		NUDC
		TMEM126A
		TOM1L1
		THBS1
		LOC100129324
		FAM206A
		FUT11
		SLC24A4
		RBM5
		TUBA3FP
		APLN
		SSR2
		HRH1
		SNCG
		PKHD1L1
		OR2A25
		RPL9
		IST1
		KANSL3
		TARDBP
		CHMP1A
		PAN3
		NSFL1C
		LIN9
		XRN1
		RUNX2
		ODC1
		EMC6
		DET1
		ZNF559-ZNF177
		STK32B
		ZNF532
		GDPD2
		CA8
		EIF1AY
		PPP6R3
		CBX3
		ACAP2
		FGF13
		SLC9A7P1
		DDTL
		CA5B
		HCN4
		LIPC
		OMP
		RNF10
		TBC1D15
		NONO
		RARRES1
		NPM3
		SIM2
		GABRA5
		DMD
		LINC00545
		ARHGAP36
		TTC14
		CRYL1
		ZNF135
		SH3RF1
		FOSB
		NDUFB2
		ZNF789
		GNB1
		LOC90768
		ADNP
		BTD
		SNRPB2
		LOC100288637
		CNNM3
		WRNIP1
		DEK
		LRIT3
		SERPINB3
		HINT1
		WNT7B
		KRTAP13-1
		HNRNPU
		USP39
		SESTD1
		SUMO1P3
		MTFR1L
		CRB1
		LOC440173
		HEPACAM
		LINC00472
		APOC1
		SIGLECL1
		STARD7
		SHMT2
		SLC5A8
		CH25H
		FAM230B
		PNP
		HOPX
		FAM216B
		EIF2D
		COG7
		MYB
		CHPT1
		USP29
		USP30
		OR4P4
		RNF122
		ANKRD34B
		RPL10A
		ADD3
		MAATS1
		LINC00308
		DEPDC1B
		NBEAL1
		OR5AS1
		CTNNBL1
		POLG2
		RAD51B
		NDST1
		UNC5B
		C5orf24
		TTTY15
		RHOF
		C19orf53
		SLC39A14
		DIP2C
		ZNF454
		NOS1
		BMPR1A
		CIB2
		HMOX2
		DGKH
		ELOVL3
		OR10J5
		C1orf101
		OR56A1
		OR5AU1
		ATP6V0B
		CFAP57
		MYO6
		PLEKHB1
		SLC15A4
		R3HDM4
		RPL12
		RNF17
		SKP2
		ZNF175
		SYNC
		PTHLH
		GOLPH3
		CCT2
		PRKG2
		ARF4
		PPP6R1
		TMEM35B
		SUPT5H
		ZNF774
		PLXNB1
		BCAP31
		CHD6
		LOC100996716
		HEPN1
		C9orf163
		CCM2
		SPICE1
		EXOSC10
		PACS2
		GALR1
		AQP4
		RNF144A
		EMC3
		SMC1A
		DCLRE1B
		PRKCD
		IDNK
